title,author,book_length
16. Midsummer Mysteries,By: Agatha Christie,Length: 7 hrs and 21 mins
95. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
25. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
78. Fast Like a Girl,By: Dr. Mindy Pelz,Length: 8 hrs and 13 mins
"17. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
88. The 32 Principles,"By: Rener Gracie, Paul Volponi, Jocko Willink - foreword",Length: 8 hrs and 18 mins
76. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
89. The Wager,By: David Grann,Length: 8 hrs and 28 mins
63. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
71. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
57. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
75. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
61. Five Years After,By: William R. Forstchen,Length: 9 hrs
32. Hábitos atómicos,By: James Clear,Length: 9 hrs and 1 min
"35. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
94. Everyone Here Is Lying,By: Shari Lapena,Length: 9 hrs and 28 mins
66. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
83. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
36. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
55. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
11. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
